Name,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,Salary,Playoff,Quarter,Semi,Team,Year
Marcus Morris,32,54,54,29,5.6,12.8,0.434,1.9,5.1,0.367,3.7,7.7,0.478,0.507,2.4,2.7,0.872,0.5,3.9,4.4,2.1,0.5,0.3,1.3,2.1,15.4,15627907,0,0,0,Clippers,2022
Norman Powell,28,5,2,25,6.4,12.6,0.508,2.6,4.8,0.542,3.8,7.8,0.487,0.611,6,7,0.857,0.6,2.2,2.8,2.8,0.4,0.8,1.4,2.8,21.4,15517242,0,0,0,Clippers,2022
Brandon Ingram,24,55,55,34,8.2,17.9,0.461,1.3,4.1,0.327,6.9,13.8,0.501,0.498,4.8,5.9,0.826,0.6,5.2,5.8,5.6,0.6,0.5,2.7,2.2,22.7,29467800,1,0,0,Pelicans,2022
CJ McCollum,30,26,26,33.8,9.5,19.2,0.493,2.7,6.9,0.394,6.7,12.3,0.549,0.564,2.6,3.9,0.667,0.7,3.7,4.5,5.8,1.3,0,2.2,1.7,24.3,30864198,1,0,0,Pelicans,2022
Jonas Valančiūnas,29,74,74,30.3,6.9,12.7,0.544,0.8,2.1,0.361,6.1,10.5,0.581,0.574,3.2,3.9,0.82,3.1,8.3,11.4,2.6,0.6,0.8,2.4,3.3,17.8,14000000,1,0,0,Pelicans,2022
Dejounte Murray,25,68,68,34.8,8.4,18.3,0.462,1.4,4.3,0.327,7,13.9,0.504,0.5,2.9,3.6,0.794,1.2,7.1,8.3,9.2,2,0.3,2.6,2,21.1,15428880,0,0,0,Spurs,2022
Josh Richardson,28,21,7,24.4,3.9,9.1,0.429,1.9,4.3,0.444,2,4.8,0.416,0.534,1.7,1.8,0.946,0.8,2.1,2.9,2.3,1,0.3,1.3,1.6,11.4,11615328,0,0,0,Spurs,2022
Doug McDermott,30,51,51,24,4.2,9.1,0.462,2.1,5,0.422,2.1,4.1,0.512,0.578,0.8,1,0.784,0.4,1.9,2.3,1.3,0.3,0.1,0.8,1.5,11.3,13750000,0,0,0,Spurs,2022
LeBron James,37,56,56,37.2,11.4,21.8,0.524,2.9,8,0.359,8.6,13.8,0.62,0.59,4.5,6,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,41180544,0,0,0,Lakers,2022
Anthony Davis,28,40,40,35.1,9.3,17.4,0.532,0.3,1.8,0.186,8.9,15.6,0.571,0.542,4.4,6.1,0.713,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2,35361360,0,0,0,Lakers,2022
Russell Westbrook,33,78,78,34.3,7,15.8,0.444,1,3.4,0.298,6,12.4,0.485,0.476,3.4,5.1,0.667,1.4,6,7.4,7.1,1,0.3,3.8,3,18.5,44211146,0,0,0,Lakers,2022
De'Aaron Fox,24,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2,28103500,0,0,0,Kings,2022
Harrison Barnes,29,77,77,33.6,5.1,10.8,0.469,1.8,4.7,0.394,3.2,6.2,0.525,0.554,4.4,5.4,0.826,1.1,4.5,5.6,2.4,0.7,0.2,1.5,1.2,16.4,20284091,0,0,0,Kings,2022
Domantas Sabonis,25,15,15,33.6,7.5,13.5,0.554,0.3,1.1,0.235,7.2,12.3,0.584,0.564,3.7,4.9,0.743,3.1,9.3,12.3,5.8,0.9,0.3,3.5,3.8,18.9,18500000,0,0,0,Kings,2022
Damian Lillard,31,29,29,36.4,7.7,19,0.402,3.2,9.8,0.324,4.5,9.2,0.485,0.486,5.5,6.2,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24,39344900,0,0,0,TrailBlazers,2022
Josh Hart,26,13,13,32.1,7.1,14.1,0.503,2.4,6.4,0.373,4.7,7.7,0.61,0.587,3.4,4.4,0.772,0.7,4.7,5.4,4.3,1.2,0.2,2.5,2.5,19.9,12000000,0,0,0,TrailBlazers,2022
Jusuf Nurkić,27,56,56,28.2,5.7,10.7,0.535,0.3,1,0.268,5.5,9.7,0.563,0.548,3.3,4.8,0.69,3,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15,12000000,0,0,0,TrailBlazers,2022
Shai Gilgeous-Alexander,23,56,56,34.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5,5.9,1.3,0.8,2.8,2.5,24.5,5495532,0,0,0,Thunder,2022
Josh Giddey,19,54,54,31.5,5.2,12.4,0.419,1,3.9,0.263,4.2,8.5,0.492,0.461,1,1.5,0.709,1.8,6,7.8,6.4,0.9,0.4,3.2,1.6,12.5,5988000,0,0,0,Thunder,2022
Derrick Favors,30,39,18,16.7,2.4,4.7,0.516,0.1,0.4,0.125,2.4,4.3,0.554,0.522,0.4,0.6,0.64,1.5,3.2,4.7,0.6,0.4,0.3,0.2,1.6,5.3,9720900,0,0,0,Thunder,2022
Jalen Green,19,67,67,31.9,6.1,14.2,0.426,2.3,6.8,0.343,3.7,7.4,0.502,0.508,2.8,3.5,0.797,0.5,2.9,3.4,2.6,0.7,0.3,2,1.5,17.3,8992200,0,0,0,Rockets,2022
Christian Wood,26,68,67,30.8,6.5,12.9,0.501,1.9,4.9,0.39,4.5,8,0.57,0.576,3,4.9,0.623,1.6,8.5,10.1,2.3,0.8,1,1.9,2.5,17.9,13666667,0,0,0,Rockets,2022
Eric Gordon,33,57,46,29.3,4.7,9.9,0.475,2.2,5.3,0.412,2.5,4.6,0.548,0.585,1.8,2.4,0.778,0.3,1.7,2,2.7,0.5,0.3,1.9,1.1,13.4,18218818,0,0,0,Rockets,2022
